Word,Conc.M,Dom_Pos
bipedal,4,Adjective
cloudy,4,Adjective
colored,4,Adjective
comic,4,Adjective
crimson,4,Adjective
evergreen,4,Adjective
featherless,4,Adjective
frosted,4,Adjective
horned,4,Adjective
invertebrate,4,Adjective
mashed,4,Adjective
mauve,4,Adjective
meatpacking,4,Adjective
military,4,Adjective
moist,4,Adjective
paraplegic,4,Adjective
pastel,4,Adjective
plump,4,Adjective
reclining,4,Adjective
solar,4,Adjective
sweet,4,Adjective
thick,4,Adjective
typewritten,4,Adjective
unpeeled,4,Adjective
collarless,3.97,Adjective
deceased,3.97,Adjective
hexagonal,3.97,Adjective
pointy,3.97,Adjective
springy,3.97,Adjective
steroid,3.97,Adjective
unbuckled,3.97,Adjective
cursive,3.96,Adjective
diagonal,3.96,Adjective
equestrian,3.96,Adjective
feathered,3.96,Adjective
flaming,3.96,Adjective
furry,3.96,Adjective
fuzzy,3.96,Adjective
hind,3.96,Adjective
humpbacked,3.96,Adjective
juicy,3.96,Adjective
pyrotechnic,3.96,Adjective
stormy,3.96,Adjective
woolly,3.96,Adjective
stationary,3.95,Adjective
slippery,3.94,Adjective
anesthetic,3.93,Adjective
balding,3.93,Adjective
bovine,3.93,Adjective
fecal,3.93,Adjective
frilly,3.93,Adjective
glittering,3.93,Adjective
greased,3.93,Adjective
handheld,3.93,Adjective
inflated,3.93,Adjective
interstate,3.93,Adjective
laminated,3.93,Adjective
moldy,3.93,Adjective
northeastern,3.93,Adjective
outdoor,3.93,Adjective
pink,3.93,Adjective
salty,3.93,Adjective
scrambled,3.93,Adjective
sculptured,3.93,Adjective
slim,3.93,Adjective
strapless,3.93,Adjective
volcanic,3.93,Adjective
watermarked,3.93,Adjective
watery,3.93,Adjective
braless,3.92,Adjective
bright,3.92,Adjective
deepwater,3.92,Adjective
fleshless,3.92,Adjective
forkful,3.92,Adjective
hardboiled,3.92,Adjective
metacarpal,3.92,Adjective
subtotal,3.92,Adjective
taut,3.92,Adjective
pickled,3.91,Adjective
frosty,3.9,Adjective
gated,3.9,Adjective
hooded,3.9,Adjective
jellied,3.9,Adjective
motorized,3.9,Adjective
phosphorous,3.9,Adjective
recycled,3.9,Adjective
round,3.9,Adjective
unsalted,3.9,Adjective
velvety,3.9,Adjective
bulletproof,3.89,Adjective
coastal,3.89,Adjective
contraceptive,3.89,Adjective
dimpled,3.89,Adjective
leafy,3.89,Adjective
prickly,3.89,Adjective
sugarless,3.89,Adjective
sugary,3.89,Adjective
white,3.89,Adjective
apache,3.88,Adjective
backhand,3.88,Adjective
frothy,3.88,Adjective
haired,3.88,Adjective
hilly,3.88,Adjective
powdered,3.88,Adjective
soft,3.88,Adjective
umbilical,3.88,Adjective
waxed,3.88,Adjective
wigless,3.88,Adjective
rotten,3.87,Adjective
chemical,3.86,Adjective
florescent,3.86,Adjective
fluffy,3.86,Adjective
freckled,3.86,Adjective
roundabout,3.86,Adjective
sharp,3.86,Adjective
smashing,3.86,Adjective
stillborn,3.86,Adjective
thirsty,3.86,Adjective
uncooked,3.86,Adjective
windowless,3.86,Adjective
windy,3.86,Adjective
woolen,3.86,Adjective
antiseptic,3.85,Adjective
cold,3.85,Adjective
crisper,3.85,Adjective
curdled,3.85,Adjective
gloved,3.85,Adjective
meatless,3.85,Adjective
southernmost,3.85,Adjective
jaundiced,3.84,Adjective
maroon,3.84,Adjective
varicose,3.84,Adjective
webbed,3.84,Adjective
autographed,3.83,Adjective
cordless,3.83,Adjective
frizzy,3.83,Adjective
gymnastic,3.83,Adjective
nasal,3.83,Adjective
oily,3.83,Adjective
rough,3.83,Adjective
soldering,3.83,Adjective
spherical,3.83,Adjective
thin,3.83,Adjective
undersea,3.83,Adjective
ablaze,3.82,Adjective
arched,3.82,Adjective
greasy,3.82,Adjective
intestinal,3.82,Adjective
muscular,3.82,Adjective
shuttered,3.82,Adjective
backpedal,3.81,Adjective
barbed,3.81,Adjective
crunchy,3.81,Adjective
damp,3.81,Adjective
dotted,3.81,Adjective
flatulent,3.81,Adjective
floppy,3.81,Adjective
lidless,3.81,Adjective
masked,3.81,Adjective
overcrowded,3.81,Adjective
quintuple,3.81,Adjective
runaway,3.81,Adjective
sectional,3.81,Adjective
skinless,3.81,Adjective
smooth,3.81,Adjective
unthawed,3.81,Adjective
foggy,3.8,Adjective
latticed,3.8,Adjective
onstage,3.8,Adjective
seamless,3.8,Adjective
unplugged,3.8,Adjective
circular,3.79,Adjective
crooked,3.79,Adjective
dusty,3.79,Adjective
flowered,3.79,Adjective
fossilized,3.79,Adjective
frayed,3.79,Adjective
iced,3.79,Adjective
ingest,3.79,Adjective
overnighter,3.79,Adjective
pale,3.79,Adjective
perfumed,3.79,Adjective
phosphorescent,3.79,Adjective
steaming,3.79,Adjective
unbleached,3.79,Adjective
colorful,3.78,Adjective
decomposed,3.78,Adjective
fluorescent,3.78,Adjective
jacketed,3.78,Adjective
neuromuscular,3.78,Adjective
sable,3.78,Adjective
wetter,3.78,Adjective
aflame,3.77,Adjective
corseted,3.77,Adjective
dry,3.77,Adjective
fringed,3.77,Adjective
limbless,3.77,Adjective
stable,3.77,Adjective
syrupy,3.77,Adjective
tinkling,3.77,Adjective
unbaked,3.77,Adjective
black,3.76,Adjective
blue,3.76,Adjective
bumpy,3.76,Adjective
chubby,3.76,Adjective
coaxial,3.76,Adjective
cockeyed,3.76,Adjective
corrugated,3.76,Adjective
hard,3.76,Adjective
legible,3.76,Adjective
porous,3.76,Adjective
rippling,3.76,Adjective
steep,3.76,Adjective
antique,3.75,Adjective
bushy,3.75,Adjective
carsick,3.75,Adjective
floral,3.75,Adjective
monogrammed,3.75,Adjective
backless,3.74,Adjective
erect,3.74,Adjective
explosive,3.74,Adjective
faint,3.74,Adjective
gelatinous,3.74,Adjective
jagged,3.74,Adjective
jerky,3.74,Adjective
outer,3.74,Adjective
pelvic,3.74,Adjective
septic,3.74,Adjective
thatched,3.74,Adjective
bronchial,3.73,Adjective
elastic,3.73,Adjective
stinky,3.73,Adjective
auburn,3.72,Adjective
bleached,3.72,Adjective
boneless,3.72,Adjective
breezy,3.72,Adjective
granulated,3.72,Adjective
musical,3.72,Adjective
pudgy,3.72,Adjective
spongy,3.72,Adjective
sunken,3.72,Adjective
trucking,3.72,Adjective
armless,3.71,Adjective
asleep,3.71,Adjective
